"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if error message is shown with invalid credentials: tester",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if password length is less than required: ",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","1","chromium","src\tests\001-login-testing\login-session.test.ts","Testing persistent and non-persistent session","","","Verify that the user is redirected to home page even after closing the browser with 'Stay Signed in' checked",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if password length is less than required: testers",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if error message is shown with invalid credentials: admin007",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if username length is less than required: ",""
"passed","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:58:03 SGT 2023","5080","chromium","src\tests\001-login-testing\logout-successful.test.ts","Testing logout button","","","Verify if logout button is re-directed to login page",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if login is successful with valid credentials",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if error message is shown with invalid credentials: admin",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-session.test.ts","Testing persistent and non-persistent session","","","Verify that the user is not redirected to home page even after closing the browser with 'Stay Signed in' not checked",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if username length is less than required: te",""
"skipped","Wed Mar 29 13:57:57 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify component is focused when clicking tab",""
"passed","Wed Mar 29 13:57:54 SGT 2023","Wed Mar 29 13:57:57 SGT 2023","2451","setup","src\tests\auth-setup.ts","","","","authenticate",""
